Venue,Citations
The VLDB Journal Â¾ The International Journal on Very Large Data Bases - Persistent object systems,15.0
The VLDB Journal Â¾ The International Journal on Very Large Data Bases - Prototypes of deductive database systems,33.0
The VLDB Journal Â¾ The International Journal on Very Large Data Bases - Spatial Database Systems,242.0
The Vldb Journal,718.0
The next+ framework for logical xquery optimization,0.0
Theor. Comput. Sci.,1115.0
"Third Biannual Conference on Innovative Database Systems Research (CIDR07), Asilomar",4.0
Third IEEE Intl. Workshop on Visual Data Mining-VDM@ ICDM03,7.0
Tran. Knowl. Data Eng. (TKDE,4.0
Trans. Data Privacy,0.0
Tutorial at The 2001 IEEE International Conference on Data Mining (ICDM); 2001,21.0
Tutorial of The 28th International Conference on Very Large Data Bases (VLDB),50.0
University of British,23.0
University of Michigan,5.0
VDMB,14.0
VLDB,75532.0
VLDB '00,1634.0
VLDB '01,3443.0
VLDB '02,978.0
VLDB '03,1964.0
VLDB '04,4089.0
VLDB '04 Proceedings of the Thirtieth international conference on Very large data bases - Volume 30,264.0
VLDB '05,2687.0
VLDB '06,2889.0
VLDB '06 Proceedings of the 32nd international conference on Very large data bases,0.0
VLDB '07,3062.0
VLDB '07 Proceedings of the 33rd international conference on Very large data bases,87.0
VLDB '75,2.0
VLDB '78,16.0
VLDB '79,0.0
VLDB '80,36.0
VLDB '84,2.0
VLDB '85,7.0
VLDB '86,126.0
VLDB '87,40.0
VLDB '88,74.0
VLDB '89,45.0
VLDB '90,218.0
VLDB '91,450.0
VLDB '92,321.0
VLDB '93,388.0
VLDB '94,388.0
VLDB '94 Proceedings of the 20th International Conference on Very Large Data Bases,337.0
VLDB '95,788.0
VLDB '96,2085.0
VLDB '97,1001.0
VLDB '98,899.0
VLDB '99,3477.0
VLDB 1996,4.0
VLDB 2000,2.0
VLDB 2003,1.0
VLDB 2005 PhD Workshop,18.0
VLDB 2005: 31st International Conference on Very Large Data Bases: Proceedings of the 31st International Conference on Very Large Data Bases; Trondheim; Norway; August 30-September 2; 2005,0.0
"VLDB 2007, Proc. of 33rd international onference on Very Large Data Bases",22.0
VLDB 2009,7.0
VLDB 2010 co-located workshop on Personalized Access; Profile Management; and Context Awareness in Databases (PersDB2010),4.0
VLDB 2012,240.0
VLDB 2014,7.0
VLDB 2015,77.0
VLDB Endowment,40.0
VLDB Int. Workshop on Semantic data and Service Integration (SDSI'07),48.0
VLDB J,32.0
VLDB J.,19032.0
VLDB JOURNAL,2768.0
VLDB JOURNAL ,116.0
VLDB JOURNAL  ,46.0
VLDB Journal,474.0
VLDB PhD Workshop,59.0
VLDB&apos;09,13.0
VLDB&apos;97 Tutorial and ACM SIGMOD&apos;96 Tutorial,24.0
VLDB'10; VLDB Endowment,5.0
VLDB'99,0.0
VLDB04: Proceedings of 30th International Conference on Very Large Data Bases,16.0
VLDB07: Proceedings of the 33th International Conference on Very Large Data Bases,1.0
VLDB: The 37th International Conference on Very Large Data Bases,4.0
VLDS,0.0
Very Large Data Bases,1341.0
Very Large Data Bases: 16th International Conference on Very Large Data Bases; August 13-16; 1990; Brisbane; Australia,0.0
Very Large Data Bases: VLDB'92; Proceedings of the 18th International Conference on Very Large Data Bases; August 23-27; 1992; Vancouver; Canada,0.0
Very Large Data Bases; 1979. Fifth International Conference on,61.0
Very Large Databases (VLDB'14) PhD Workshop,2.0
Very large data bases: Fourth International Conference on Very Large Data Bases; West Berlin; Germany; September 13-15; 1978,0.0
WAIM,2.0
WIDM '02,10.0
WIMS '18,0.0
WSDM,3.0
WSDM '11,22.0
WSDM '14,2.0
WWW '02,20.0
WWW '08,146.0
WWW '10,7.0
WWW '14 Companion,7.0
WWW '15,0.0
Way. VLDB,9.0
WebDB,638.0
WebDB '04,153.0
WebDB (Informal Proceedings),95.0
WebDB'18,0.0
WebDB: The 15th International Workshop on the Web and Databases (Co located with ACM SIGMOD),8.0
Workshop on Information Integration on the Web,36.0
Workshop on Mining Complex Data (MCD05); ICDM; Houston; TX. Institute for Computer Science; University of Munich,20.0
Workshop on Text Mining (TextDM&apos;2001,7.0
Workshop on Web Information and Data Management,0.0
World Wide Web,0.0
XML-Based Data Management and Multimedia EngineeringEDBT 2002 Workshops,89.0
XP1 Workshop on Database Theory,0.0
XSym,3.0
conference on information and knowledge management,1.0
extending database technology,407.0
"in &quot;24th International Conference on Data Engineering, ICDE",6.0
"in &quot;33th International Conference on Very Large Data Bases, (VLDB)&quot;, Demo session, September 2007, http://www-smis.inria.fr/dataFiles/SABBPS07a.pdf. Miscellaneous",1.0
in &quot;CIKM,3.0
in &quot;EDBT 17th International Conference on Extending Database Technology,2.0
"in 12th International Conference on Extending Database Technology (EDBT), Saint",8.0
in ACM SIGMOD,22.0
"in ACM SIGMOD, 2010",27.0
"in Data Management in the Cloud (DMC), ICDE Workshops",4.0
in EDBT,2.0
"in EDBT 08: Proceedings of the 11th international conference on Extending database technology, ACM",5.0
"in EDBT, 2009",12.0
in EDBT/ICDT PhD Workshop,3.0
in ICDE,184.0
"in ICDE 08: Proceedings of the 2008 IEEE 24th International Conference on Data Engineering, IEEE Computer Society",14.0
"in ICDE 10: Proceedings of the 2010 IEEE International Conference on Data Engineering, IEEE",6.0
"in ICDE, 2007",44.0
"in ICDE15, 2015",1.0
in IEEE ICDE,18.0
in PODS,18.0
in PODS Conference,37.0
in Proc. 16th Int&apos;l Conf. on VLDB,38.0
in Proc. 22nd International Conference on Data Engineering,56.0
"in Proc. 25th IEEE International Conference on Data Engineering (ICDE), 2009",10.0
in Proc. ACM SIGACT-SIGMOD Symp. on Principles of Database Systems,32.0
in Proc. ICDE,15.0
"in Proc. of VLDB, 2011, (to appear",5.0
in Proc. of the 21st IEEE ICDE,158.0
in Proc. of the 23rd IEEE International Conference on Data Engineering (ICDE,2.0
in Proc. of the ICDE,4.0
in Proc. of the International Conference on Very Large Databases (VLDB,106.0
"in Proceedings ACM-$IGMOD 1994 International Conference on Management of Data, ACM",11.0
"in Proceedings of EDBT, 2008",10.0
in Proceedings of IEEE ICDE,28.0
in Proceedings of IEEE International Conference on Data Engineering (ICDE,8.0
"in Proceedings of the 15th International Conference on Extending Database Technology, ser. EDBT 12",5.0
in Proceedings of the 2003 ACM SIGMOD International Conference on Management of Data,33.0
"in Proceedings of the 2011 international conference on Management of data, ser. SIGMOD 11",7.0
in Proceedings of the 25th International Conference on Data Engineering (ICDE,3.0
in Proceedings of the 29th International Conference on Data Engineering (ICDE 13,9.0
in Proceedings of the IEEE CS International Conference on Data Engineering,7.0
"in Proceedings of the International Conference on Data Engineering, 2011. [Online]. Available: http://hal.inria.fr/inria-00536361/en",10.0
in SIGMOD,88.0
in SIGMOD 08,68.0
"in SIGMOD Conference, 2008",7.0
"in SIGMOD Conference, 2011",13.0
"in SIGMOD, 2007",134.0
"in SIGMOD, 2008",28.0
in SIGMOD. ACM,11.0
in To Appear: ACM Special Interest Group on Management of Data (SIGMOD,20.0
"in U. of Penn., TR",120.0
in VLDB,162.0
"in VLDB, 2007",124.0
in the MapReduce framework. SIGMOD,18.0
in: IEEE International Conference on Data Mining (ICDM,6.0
in: Proc. SIGMOD,9.0
"in: Proceedings of ACM SIGMOD International Conference on Management of Data, 2002",682.0
"in: Proceedings of the 2004 ACM SIGMOD International Conference on Management of Data, ACM",136.0
in: Proceedings of the 25th International Conference on Data Engineering (ICDE,47.0
international conference on data engineering,1437.0
international conference on data mining,12.0
international conference on management of data,1415.0
"n o 10, 2008, p. 1363-1377. Activity Report INRIA 2008",6.0
"of the problem, and (iv) three references to HC methods (in the first paragraph). C2. In the",32.0
of: Proceedings of the 3rd Biennial Conference on Innovative Data Systems Research; CIDR,10.0
preparation.[6] S. Chaudhuri and U. Dayal. An Overview of Data Warehousing and OLAP Technology. SIGMOD Record,0.0
proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,5.0
proceedings of the 2013 ACM SIGMOD international conference on management of data,116.0
proceedings of the 25th international conference on Very Large Data Bases; Edinburgh; Scotland,2.0
symposium on principles of database systems,430.0
the 2014 ACM SIGMOD international conference on Management of data,73.0
the 2nd IEEE Int Conf on Data Mining (ICDM),2.0
the IEEE Transactions on Data and Knowledge Engineering (TKDE,3.0
the Proceedings of the Third Workshop on Spatio-Temporal Database Management (co-located with VLDB2006); Seoul; Korea,14.0
the international journal on very large data bases,77.0
very large data bases,1002.0
